"Time","TemperatureF"
2012-10-01 00:04:00,64.3
2012-10-01 00:23:00,63.8
2012-10-01 00:28:00,63.8
2012-10-01 00:37:00,63.8
2012-10-01 00:45:00,64.1
2012-10-01 00:51:00,64.4
2012-10-01 00:56:00,64.3
2012-10-01 01:01:00,64.1
2012-10-01 01:15:00,63.1
2012-10-01 01:20:00,62.7
2012-10-01 01:25:00,62.5
2012-10-01 01:30:00,62.2
2012-10-01 01:39:00,61.8
2012-10-01 01:44:00,61.6
2012-10-01 01:53:00,61.5
2012-10-01 01:58:00,61.4
2012-10-01 02:03:00,61.3
2012-10-01 02:26:00,60.9
2012-10-01 02:31:00,60.9
2012-10-01 02:36:00,60.8
2012-10-01 02:41:00,61.1
2012-10-01 02:46:00,61.3
2012-10-01 02:55:00,61.3
2012-10-01 03:00:00,61.3
2012-10-01 03:18:00,60.8
2012-10-01 03:23:00,60.4
2012-10-01 03:32:00,60.4
2012-10-01 03:37:00,60.5
2012-10-01 03:42:00,60.5
2012-10-01 03:51:00,60.5
2012-10-01 03:56:00,60.4
2012-10-01 04:01:00,60.3
2012-10-01 04:15:00,59.6
2012-10-01 04:24:00,59.3
2012-10-01 04:33:00,59
2012-10-01 04:38:00,58.9
2012-10-01 04:46:00,58.5
2012-10-01 04:55:00,58.3
2012-10-01 05:04:00,58.4
2012-10-01 05:14:00,59
2012-10-01 05:23:00,59.2
2012-10-01 05:32:00,58.9
2012-10-01 05:37:00,59
2012-10-01 05:42:00,59
2012-10-01 05:47:00,59
2012-10-01 05:52:00,59.1
2012-10-01 05:58:00,59.2
2012-10-01 06:06:00,59.4
2012-10-01 06:20:00,58.6
2012-10-01 06:29:00,58
2012-10-01 06:34:00,57.8
2012-10-01 06:43:00,57.9
2012-10-01 06:48:00,57.9
2012-10-01 06:57:00,57.9
2012-10-01 07:05:00,58
2012-10-01 07:19:00,57.7
2012-10-01 07:28:00,57.6
2012-10-01 07:33:00,57.7
2012-10-01 07:42:00,58.2
2012-10-01 07:47:00,58.7
2012-10-01 07:56:00,59.7
2012-10-01 08:01:00,60.3
2012-10-01 08:17:00,61.9
2012-10-01 08:25:00,63.1
2012-10-01 08:34:00,64.7
2012-10-01 08:39:00,65.5
2012-10-01 08:44:00,66.2
2012-10-01 08:50:00,67.2
2012-10-01 08:58:00,69.6
2012-10-01 09:04:00,70.5
2012-10-01 09:21:00,72.3
2012-10-01 09:26:00,71.9
2012-10-01 09:31:00,72
2012-10-01 09:40:00,72.8
2012-10-01 09:45:00,73.1
2012-10-01 09:50:00,73.3
2012-10-01 09:59:00,74
2012-10-01 10:22:00,76.9
2012-10-01 10:31:00,77.8
2012-10-01 10:36:00,78.7
2012-10-01 10:44:00,79.7
2012-10-01 10:53:00,79.9
2012-10-01 10:58:00,79.9
2012-10-01 11:03:00,80.3
2012-10-01 11:23:00,83.4
2012-10-01 11:31:00,84.2
2012-10-01 11:37:00,84.3
2012-10-01 11:45:00,84.8
2012-10-01 11:50:00,85.1
2012-10-01 11:56:00,85.1
2012-10-01 12:04:00,86
2012-10-01 12:15:00,87.1
2012-10-01 12:23:00,87.7
2012-10-01 12:29:00,87.7
2012-10-01 12:37:00,87.8
2012-10-01 12:46:00,87.9
2012-10-01 12:51:00,88.3
2012-10-01 12:56:00,88.5
2012-10-01 13:05:00,89.2
2012-10-01 13:23:00,90.6
2012-10-01 13:32:00,91
2012-10-01 13:37:00,91.2
2012-10-01 13:46:00,91.7
