"Time","TemperatureF"
2012-10-01 00:01:00,49
2012-10-01 00:06:00,48.9
2012-10-01 00:11:00,48.8
2012-10-01 00:16:00,48.9
2012-10-01 00:21:00,48.9
2012-10-01 00:26:00,48.9
2012-10-01 00:31:00,48.8
2012-10-01 00:36:00,48.8
2012-10-01 00:41:00,48.8
2012-10-01 00:46:00,48.8
2012-10-01 00:51:00,48.8
2012-10-01 00:56:00,48.7
2012-10-01 01:01:00,48.7
2012-10-01 01:06:00,48.7
2012-10-01 01:11:00,48.8
2012-10-01 01:16:00,48.8
2012-10-01 01:21:00,48.8
2012-10-01 01:26:00,48.9
2012-10-01 01:31:00,48.9
2012-10-01 01:36:00,49
2012-10-01 01:41:00,49
2012-10-01 01:46:00,48.9
2012-10-01 01:51:00,48.8
2012-10-01 01:56:00,48.8
2012-10-01 02:01:00,48.8
2012-10-01 02:06:00,48.7
2012-10-01 02:11:00,48.7
2012-10-01 02:16:00,48.7
2012-10-01 02:21:00,48.7
2012-10-01 02:26:00,48.8
2012-10-01 02:31:00,48.8
2012-10-01 02:36:00,48.8
2012-10-01 02:41:00,48.7
2012-10-01 02:46:00,48.6
2012-10-01 02:51:00,48.5
2012-10-01 02:56:00,48.4
2012-10-01 03:01:00,48.5
2012-10-01 03:06:00,48.5
2012-10-01 03:11:00,48.4
2012-10-01 03:16:00,48.4
2012-10-01 03:21:00,48.3
2012-10-01 03:26:00,48.2
2012-10-01 03:31:00,48.2
2012-10-01 03:36:00,48.2
2012-10-01 03:41:00,48.2
2012-10-01 03:46:00,48.2
2012-10-01 03:51:00,48.1
2012-10-01 03:56:00,48
2012-10-01 04:01:00,47.8
2012-10-01 04:06:00,47.5
2012-10-01 04:11:00,47.3
2012-10-01 04:16:00,47.1
2012-10-01 04:21:00,46.9
2012-10-01 04:26:00,46.9
2012-10-01 04:31:00,46.9
2012-10-01 04:36:00,46.8
2012-10-01 04:41:00,46.7
2012-10-01 04:46:00,46.6
2012-10-01 04:51:00,46.5
2012-10-01 04:56:00,46.3
2012-10-01 05:01:00,46.2
2012-10-01 05:06:00,46.1
2012-10-01 05:11:00,46
2012-10-01 05:16:00,45.9
2012-10-01 05:21:00,45.7
2012-10-01 05:26:00,45.6
2012-10-01 05:31:00,45.6
2012-10-01 05:36:00,45.5
2012-10-01 05:41:00,45.4
2012-10-01 05:46:00,45.2
2012-10-01 05:51:00,45.1
2012-10-01 05:56:00,45
2012-10-01 06:01:00,44.9
2012-10-01 06:06:00,44.8
2012-10-01 06:11:00,44.7
2012-10-01 06:16:00,44.7
2012-10-01 06:21:00,44.8
2012-10-01 06:26:00,44.8
2012-10-01 06:31:00,45.1
2012-10-01 06:36:00,45.2
2012-10-01 06:41:00,45.4
2012-10-01 06:46:00,45.3
2012-10-01 06:51:00,45.2
2012-10-01 06:56:00,45.2
2012-10-01 07:01:00,45.3
2012-10-01 07:06:00,45.4
2012-10-01 07:11:00,45.3
2012-10-01 07:16:00,45.3
2012-10-01 07:21:00,45.4
2012-10-01 07:26:00,45.6
2012-10-01 07:31:00,45.8
2012-10-01 07:36:00,46
2012-10-01 07:41:00,46.1
2012-10-01 07:46:00,46.4
2012-10-01 07:51:00,46.7
2012-10-01 07:56:00,47.4
2012-10-01 08:01:00,48.1
2012-10-01 08:06:00,48.7
2012-10-01 08:11:00,49.2
2012-10-01 08:16:00,49.8
2012-10-01 08:21:00,50.4
2012-10-01 08:26:00,51
2012-10-01 08:31:00,51.5
2012-10-01 08:36:00,52.1
2012-10-01 08:41:00,52.7
2012-10-01 08:46:00,53.3
2012-10-01 08:51:00,54
2012-10-01 08:56:00,54.8
2012-10-01 09:01:00,55.5
2012-10-01 09:06:00,56.1
2012-10-01 09:11:00,56.5
2012-10-01 09:16:00,56.9
2012-10-01 09:21:00,57.2
2012-10-01 09:26:00,57.8
