"Time","TemperatureF"
2011-01-01 00:00:00,41.5
2011-01-01 00:01:00,41.5
2011-01-01 00:02:00,41.5
2011-01-01 00:06:00,41.3
2011-01-01 00:07:00,41.2
2011-01-01 00:09:00,41.1
2011-01-01 00:11:00,41
2011-01-01 00:13:00,40.9
2011-01-01 00:17:00,40.7
2011-01-01 00:18:00,40.6
2011-01-01 00:19:00,40.6
2011-01-01 00:23:00,40.4
2011-01-01 00:24:00,40.4
2011-01-01 00:27:00,40.3
2011-01-01 00:28:00,40.3
2011-01-01 00:29:00,40.3
2011-01-01 00:32:00,40.3
2011-01-01 00:34:00,40.3
2011-01-01 00:37:00,40.4
2011-01-01 00:38:00,40.5
2011-01-01 00:39:00,40.5
2011-01-01 00:43:00,40.5
2011-01-01 00:45:00,40.5
2011-01-01 00:46:00,40.5
2011-01-01 00:47:00,40.6
2011-01-01 00:51:00,40.9
2011-01-01 00:52:00,41
2011-01-01 00:53:00,41.1
2011-01-01 00:56:00,41.3
2011-01-01 00:57:00,41.4
2011-01-01 01:02:00,42
2011-01-01 01:03:00,42.1
2011-01-01 01:04:00,42.2
2011-01-01 01:09:00,42.5
2011-01-01 01:10:00,42.6
2011-01-01 01:13:00,42.6
2011-01-01 01:16:00,42.6
2011-01-01 01:17:00,42.6
2011-01-01 01:18:00,42.6
2011-01-01 01:20:00,42.6
2011-01-01 01:22:00,42.6
2011-01-01 01:24:00,42.6
2011-01-01 01:28:00,42.6
2011-01-01 01:29:00,42.5
2011-01-01 01:34:00,42.5
2011-01-01 01:35:00,42.5
2011-01-01 01:36:00,42.5
2011-01-01 01:39:00,42.5
2011-01-01 01:40:00,42.5
2011-01-01 01:43:00,42.6
2011-01-01 01:45:00,42.7
2011-01-01 01:46:00,42.7
2011-01-01 01:48:00,42.7
2011-01-01 01:50:00,42.7
2011-01-01 01:51:00,42.7
2011-01-01 01:52:00,42.7
2011-01-01 01:54:00,42.8
2011-01-01 01:59:00,42.8
2011-01-01 02:00:00,42.7
2011-01-01 02:03:00,42.6
2011-01-01 02:04:00,42.5
2011-01-01 02:08:00,42.5
2011-01-01 02:09:00,42.5
2011-01-01 02:10:00,42.5
2011-01-01 02:11:00,42.4
2011-01-01 02:14:00,42.4
2011-01-01 02:16:00,42.3
2011-01-01 02:19:00,42.3
2011-01-01 02:21:00,42.3
2011-01-01 02:24:00,42.3
2011-01-01 02:27:00,42.3
2011-01-01 02:28:00,42.4
2011-01-01 02:33:00,42.2
2011-01-01 02:34:00,42.2
2011-01-01 02:35:00,42.2
2011-01-01 02:38:00,42.3
2011-01-01 02:39:00,42.4
2011-01-01 02:40:00,42.4
2011-01-01 02:41:00,42.4
2011-01-01 02:45:00,42.5
2011-01-01 02:47:00,42.4
2011-01-01 02:53:00,42.5
2011-01-01 02:54:00,42.4
2011-01-01 02:56:00,42.3
2011-01-01 02:58:00,42.2
2011-01-01 03:00:00,42.1
2011-01-01 03:01:00,42.1
2011-01-01 03:03:00,42.1
2011-01-01 03:06:00,42.2
2011-01-01 03:07:00,42.2
2011-01-01 03:09:00,42.2
2011-01-01 03:11:00,42.3
2011-01-01 03:13:00,42.5
2011-01-01 03:17:00,42.7
2011-01-01 03:19:00,42.7
2011-01-01 03:22:00,42.8
2011-01-01 03:24:00,42.8
2011-01-01 03:25:00,42.8
2011-01-01 03:27:00,42.8
2011-01-01 03:30:00,42.7
2011-01-01 03:34:00,42.6
2011-01-01 03:35:00,42.6
2011-01-01 03:37:00,42.6
2011-01-01 03:40:00,42.6
2011-01-01 03:43:00,42.6
2011-01-01 03:44:00,42.5
2011-01-01 03:46:00,42.5
2011-01-01 03:48:00,42.5
2011-01-01 03:51:00,42.5
2011-01-01 03:53:00,42.5
2011-01-01 03:55:00,42.5
2011-01-01 03:58:00,42.6
2011-01-01 03:59:00,42.6
2011-01-01 04:03:00,42.7
2011-01-01 04:04:00,42.7
2011-01-01 04:07:00,42.5
2011-01-01 04:08:00,42.5
2011-01-01 04:09:00,42.4
2011-01-01 04:11:00,42.3
2011-01-01 04:12:00,42.2
2011-01-01 04:14:00,42.1
2011-01-01 04:15:00,42.1
2011-01-01 04:18:00,41.9
2011-01-01 04:20:00,41.8
2011-01-01 04:21:00,41.8
2011-01-01 04:23:00,41.7
2011-01-01 04:25:00,41.6
2011-01-01 04:27:00,41.6
2011-01-01 04:29:00,41.6
2011-01-01 04:30:00,41.5
2011-01-01 04:31:00,41.4
2011-01-01 04:33:00,41.2
2011-01-01 04:36:00,40.7
2011-01-01 04:38:00,40.4
2011-01-01 04:40:00,40.2
2011-01-01 04:41:00,40
2011-01-01 04:43:00,39.9
2011-01-01 04:44:00,39.8
2011-01-01 04:45:00,39.7
2011-01-01 04:48:00,39.5
2011-01-01 04:51:00,39.3
2011-01-01 04:53:00,39.2
2011-01-01 04:54:00,39.2
2011-01-01 05:00:00,38.9
2011-01-01 05:02:00,38.8
2011-01-01 05:03:00,38.8
2011-01-01 05:07:00,38.7
2011-01-01 05:08:00,38.6
2011-01-01 05:10:00,38.6
2011-01-01 05:12:00,38.5
2011-01-01 05:14:00,38.4
2011-01-01 05:16:00,38.4
2011-01-01 05:21:00,38.1
2011-01-01 05:22:00,38.1
2011-01-01 05:25:00,38
2011-01-01 05:27:00,38
2011-01-01 05:28:00,37.9
2011-01-01 05:30:00,37.9
2011-01-01 05:33:00,37.9
2011-01-01 05:35:00,37.8
2011-01-01 05:36:00,37.8
2011-01-01 05:38:00,37.8
2011-01-01 05:41:00,37.7
2011-01-01 05:43:00,37.7
2011-01-01 05:44:00,37.7
2011-01-01 05:46:00,37.7
2011-01-01 05:50:00,37.7
2011-01-01 05:51:00,37.7
2011-01-01 05:52:00,37.7
2011-01-01 05:55:00,37.7
2011-01-01 05:56:00,37.7
2011-01-01 05:57:00,37.7
2011-01-01 06:01:00,37.6
2011-01-01 06:02:00,37.6
2011-01-01 06:06:00,37.5
2011-01-01 06:08:00,37.5
2011-01-01 06:09:00,37.5
2011-01-01 06:11:00,37.4
2011-01-01 06:13:00,37.3
2011-01-01 06:14:00,37.3
2011-01-01 06:15:00,37.3
2011-01-01 06:17:00,37.2
2011-01-01 06:18:00,37.2
2011-01-01 06:23:00,37
2011-01-01 06:26:00,37.1
2011-01-01 06:28:00,37.1
2011-01-01 06:30:00,37.1
2011-01-01 06:32:00,37.2
2011-01-01 06:35:00,37.3
2011-01-01 06:37:00,37.3
2011-01-01 06:40:00,37.3
2011-01-01 06:41:00,37.3
2011-01-01 06:43:00,37.3
2011-01-01 06:45:00,37.4
2011-01-01 06:48:00,37.5
2011-01-01 06:53:00,37.8
2011-01-01 06:54:00,37.8
2011-01-01 06:56:00,37.9
2011-01-01 06:57:00,37.9
2011-01-01 06:59:00,37.9
2011-01-01 07:01:00,38.1
2011-01-01 07:02:00,38.1
2011-01-01 07:03:00,38.2
2011-01-01 07:07:00,38.3
2011-01-01 07:08:00,38.4
2011-01-01 07:09:00,38.4
2011-01-01 07:10:00,38.4
2011-01-01 07:14:00,38.7
2011-01-01 07:15:00,38.8
2011-01-01 07:16:00,38.8
2011-01-01 07:21:00,39.1
2011-01-01 07:22:00,39.2
2011-01-01 07:23:00,39.3
2011-01-01 07:26:00,39.5
2011-01-01 07:27:00,39.5
2011-01-01 07:30:00,39.6
2011-01-01 07:32:00,39.7
2011-01-01 07:35:00,39.8
2011-01-01 07:36:00,39.9
2011-01-01 07:37:00,40
2011-01-01 07:41:00,40.2
2011-01-01 07:42:00,40.3
2011-01-01 07:43:00,40.3
2011-01-01 07:46:00,40.6
2011-01-01 07:47:00,40.6
2011-01-01 07:48:00,40.7
2011-01-01 07:51:00,40.9
2011-01-01 07:53:00,41.1
2011-01-01 07:57:00,41.3
2011-01-01 07:58:00,41.3
2011-01-01 07:59:00,41.4
2011-01-01 08:00:00,41.5
2011-01-01 08:02:00,41.6
2011-01-01 08:07:00,41.8
2011-01-01 08:08:00,41.9
2011-01-01 08:11:00,42.1
2011-01-01 08:12:00,42.1
2011-01-01 08:13:00,42.2
2011-01-01 08:17:00,42.4
2011-01-01 08:18:00,42.4
2011-01-01 08:20:00,42.5
2011-01-01 08:24:00,42.6
2011-01-01 08:25:00,42.6
2011-01-01 08:26:00,42.7
2011-01-01 08:31:00,42.8
2011-01-01 08:32:00,42.8
2011-01-01 08:34:00,42.8
2011-01-01 08:36:00,42.9
2011-01-01 08:39:00,43.1
2011-01-01 08:42:00,43.3
2011-01-01 08:44:00,43.4
2011-01-01 08:47:00,43.6
2011-01-01 08:49:00,43.8
2011-01-01 08:55:00,44.3
2011-01-01 08:56:00,44.4
2011-01-01 08:57:00,44.5
2011-01-01 09:00:00,44.8
2011-01-01 09:03:00,45.1
2011-01-01 09:04:00,45.1
2011-01-01 09:05:00,45.2
2011-01-01 09:09:00,45.5
2011-01-01 09:10:00,45.6
2011-01-01 09:11:00,45.6
2011-01-01 09:13:00,45.7
2011-01-01 09:16:00,45.9
2011-01-01 09:18:00,46
2011-01-01 09:19:00,46
2011-01-01 09:20:00,46.1
2011-01-01 09:21:00,46.1
2011-01-01 09:25:00,46.5
2011-01-01 09:26:00,46.6
2011-01-01 09:27:00,46.7
2011-01-01 09:29:00,46.9
2011-01-01 09:31:00,47.1
2011-01-01 09:33:00,47.3
2011-01-01 09:36:00,47.7
2011-01-01 09:38:00,47.8
2011-01-01 09:40:00,48
2011-01-01 09:42:00,48.2
2011-01-01 09:43:00,48.2
2011-01-01 09:48:00,48.7
2011-01-01 09:49:00,48.8
2011-01-01 09:50:00,48.9
2011-01-01 09:53:00,49.3
2011-01-01 09:55:00,49.5
2011-01-01 09:56:00,49.6
2011-01-01 09:58:00,49.8
2011-01-01 10:01:00,50.1
2011-01-01 10:02:00,50.3
2011-01-01 10:03:00,50.4
2011-01-01 10:05:00,50.6
2011-01-01 10:07:00,50.9
2011-01-01 10:08:00,51
2011-01-01 10:12:00,51.4
2011-01-01 10:13:00,51.6
2011-01-01 10:14:00,51.7
2011-01-01 10:15:00,51.8
2011-01-01 10:20:00,52.2
2011-01-01 10:21:00,52.3
2011-01-01 10:22:00,52.3
2011-01-01 10:24:00,52.4
2011-01-01 10:25:00,52.4
2011-01-01 10:30:00,52.5
2011-01-01 10:31:00,52.5
2011-01-01 10:32:00,52.5
2011-01-01 10:36:00,52.5
2011-01-01 10:37:00,52.5
2011-01-01 10:40:00,52.5
2011-01-01 10:41:00,52.5
2011-01-01 10:43:00,52.6
2011-01-01 10:44:00,52.6
2011-01-01 10:45:00,52.6
2011-01-01 10:48:00,52.7
2011-01-01 10:49:00,52.8
2011-01-01 10:50:00,52.8
2011-01-01 10:51:00,52.8
2011-01-01 10:54:00,53
2011-01-01 10:55:00,53
2011-01-01 10:56:00,53.1
2011-01-01 10:57:00,53.1
2011-01-01 10:59:00,53.2
2011-01-01 11:02:00,53.4
2011-01-01 11:03:00,53.4
2011-01-01 11:04:00,53.5
2011-01-01 11:08:00,53.6
2011-01-01 11:11:00,53.8
2011-01-01 11:13:00,53.9
2011-01-01 11:14:00,53.9
2011-01-01 11:17:00,54
2011-01-01 11:19:00,54.1
2011-01-01 11:22:00,54.2
2011-01-01 11:24:00,54.3
2011-01-01 11:25:00,54.4
2011-01-01 11:27:00,54.5
2011-01-01 11:28:00,54.5
2011-01-01 11:30:00,54.6
2011-01-01 11:32:00,54.6
2011-01-01 11:34:00,54.5
2011-01-01 11:35:00,54.5
2011-01-01 11:39:00,54.5
2011-01-01 11:41:00,54.6
2011-01-01 11:42:00,54.6
2011-01-01 11:44:00,54.7
2011-01-01 11:47:00,54.8
2011-01-01 11:48:00,54.8
2011-01-01 11:49:00,54.9
2011-01-01 11:51:00,54.9
2011-01-01 11:54:00,55
2011-01-01 11:55:00,55
2011-01-01 11:58:00,55.1
2011-01-01 11:59:00,55.1
2011-01-01 12:00:00,55.1
2011-01-01 12:02:00,55.2
2011-01-01 12:06:00,55.4
2011-01-01 12:07:00,55.4
2011-01-01 12:11:00,55.7
2011-01-01 12:12:00,55.7
2011-01-01 12:13:00,55.8
2011-01-01 12:15:00,55.9
2011-01-01 12:18:00,56
2011-01-01 12:20:00,56.1
2011-01-01 12:21:00,56.1
2011-01-01 12:25:00,56.2
2011-01-01 12:27:00,56.2
2011-01-01 12:31:00,56.2
2011-01-01 12:32:00,56.3
2011-01-01 12:34:00,56.4
2011-01-01 12:37:00,56.5
2011-01-01 12:38:00,56.5
2011-01-01 12:39:00,56.5
2011-01-01 12:43:00,56.7
2011-01-01 12:44:00,56.7
2011-01-01 12:45:00,56.7
2011-01-01 12:48:00,56.8
2011-01-01 12:50:00,56.8
2011-01-01 12:52:00,56.9
2011-01-01 12:53:00,56.9
2011-01-01 12:55:00,57
2011-01-01 13:00:00,57.1
2011-01-01 13:01:00,57.1
2011-01-01 13:02:00,57.1
2011-01-01 13:07:00,57.3
2011-01-01 13:08:00,57.3
2011-01-01 13:12:00,57.3
2011-01-01 13:14:00,57.4
2011-01-01 13:17:00,57.4
2011-01-01 13:18:00,57.4
2011-01-01 13:19:00,57.4
2011-01-01 13:23:00,57.5
2011-01-01 13:24:00,57.6
2011-01-01 13:25:00,57.6
2011-01-01 13:28:00,57.7
2011-01-01 13:30:00,57.8
2011-01-01 13:33:00,57.8
2011-01-01 13:36:00,57.9
2011-01-01 13:38:00,57.9
2011-01-01 13:41:00,57.9
2011-01-01 13:42:00,57.9
2011-01-01 13:44:00,58
2011-01-01 13:47:00,58.1
2011-01-01 13:48:00,58.2
2011-01-01 13:49:00,58.2
2011-01-01 13:53:00,58.4
2011-01-01 13:54:00,58.5
2011-01-01 13:56:00,58.6
2011-01-01 14:00:00,58.7
2011-01-01 14:01:00,58.7
2011-01-01 14:02:00,58.7
2011-01-01 14:07:00,58.7
2011-01-01 14:08:00,58.7
2011-01-01 14:09:00,58.7
2011-01-01 14:11:00,58.6
2011-01-01 14:15:00,58.6
2011-01-01 14:17:00,58.6
2011-01-01 14:19:00,58.6
2011-01-01 14:21:00,58.6
2011-01-01 14:25:00,58.6
2011-01-01 14:26:00,58.6
2011-01-01 14:28:00,58.6
2011-01-01 14:29:00,58.6
2011-01-01 14:32:00,58.7
2011-01-01 14:34:00,58.7
2011-01-01 14:37:00,58.8
2011-01-01 14:38:00,58.8
2011-01-01 14:39:00,58.9
2011-01-01 14:44:00,58.9
2011-01-01 14:45:00,59
2011-01-01 14:49:00,59
2011-01-01 14:50:00,59
2011-01-01 14:52:00,59
2011-01-01 14:54:00,59.1
2011-01-01 14:55:00,59.1
2011-01-01 14:59:00,59.2
2011-01-01 15:00:00,59.2
2011-01-01 15:01:00,59.2
2011-01-01 15:06:00,59.3
2011-01-01 15:07:00,59.3
2011-01-01 15:08:00,59.3
2011-01-01 15:13:00,59.3
2011-01-01 15:17:00,59.3
2011-01-01 15:18:00,59.3
