

 ComfortScore For City :London,UK, is 22.94
Total data points 8751 
Low, High, NumHrs, Percent
0, 9, 2909, 33.24 
10, 19, 0, 0.00 
20, 29, 1769, 20.21 
30, 39, 1784, 20.39 
40, 49, 1224, 13.99 
50, 59, 693, 7.92 
60, 69, 224, 2.56 
70, 79, 0, 0.00 
80, 89, 2, 0.02 
90, 99, 0, 0.00 
100, 109, 146, 1.67 


 ComfortScore For City :Sydney,AU, is 47.19
Total data points 8746 
Low, High, NumHrs, Percent
0, 9, 321, 3.67 
10, 19, 0, 0.00 
20, 29, 845, 9.66 
30, 39, 1529, 17.48 
40, 49, 1831, 20.94 
50, 59, 1966, 22.48 
60, 69, 1097, 12.54 
70, 79, 29, 0.33 
80, 89, 116, 1.33 
90, 99, 0, 0.00 
100, 109, 1012, 11.57 


 ComfortScore For City :Buffalo,NY, is 27.36
Total data points 8446 
Low, High, NumHrs, Percent
0, 9, 4089, 48.41 
10, 19, 0, 0.00 
20, 29, 672, 7.96 
30, 39, 596, 7.06 
40, 49, 896, 10.61 
50, 59, 595, 7.04 
60, 69, 614, 7.27 
70, 79, 5, 0.06 
80, 89, 47, 0.56 
90, 99, 0, 0.00 
100, 109, 932, 11.03 


 ComfortScore For City :Pittsburgh,PA, is 31.05
Total data points 8370 
Low, High, NumHrs, Percent
0, 9, 3584, 42.82 
10, 19, 0, 0.00 
20, 29, 656, 7.84 
30, 39, 722, 8.63 
40, 49, 898, 10.73 
50, 59, 604, 7.22 
60, 69, 692, 8.27 
70, 79, 45, 0.54 
80, 89, 131, 1.57 
90, 99, 0, 0.00 
100, 109, 1038, 12.40 


 ComfortScore For City :Honolulu,HI, is 89.24
Total data points 8385 
Low, High, NumHrs, Percent
0, 9, 3, 0.04 
10, 19, 0, 0.00 
20, 29, 0, 0.00 
30, 39, 0, 0.00 
40, 49, 45, 0.54 
50, 59, 256, 3.05 
60, 69, 1653, 19.71 
70, 79, 0, 0.00 
80, 89, 415, 4.95 
90, 99, 0, 0.00 
100, 109, 6013, 71.71 


 ComfortScore For City :Sunnyvale,CA, is 31.66
Total data points 8641 
Low, High, NumHrs, Percent
0, 9, 1883, 21.79 
10, 19, 0, 0.00 
20, 29, 1380, 15.97 
30, 39, 1813, 20.98 
40, 49, 1560, 18.05 
50, 59, 894, 10.35 
60, 69, 624, 7.22 
70, 79, 15, 0.17 
80, 89, 59, 0.68 
90, 99, 0, 0.00 
100, 109, 413, 4.78 


 ComfortScore For City :Schaumburg,IL, is 26.19
Total data points 8296 
Low, High, NumHrs, Percent
0, 9, 4244, 51.16 
10, 19, 0, 0.00 
20, 29, 637, 7.68 
30, 39, 585, 7.05 
40, 49, 610, 7.35 
50, 59, 626, 7.55 
60, 69, 504, 6.08 
70, 79, 106, 1.28 
80, 89, 250, 3.01 
90, 99, 0, 0.00 
100, 109, 734, 8.85 


 ComfortScore For City :Miami,FL, is 79.25
Total data points 8395 
Low, High, NumHrs, Percent
0, 9, 37, 0.44 
10, 19, 0, 0.00 
20, 29, 111, 1.32 
30, 39, 187, 2.23 
40, 49, 381, 4.54 
50, 59, 775, 9.23 
60, 69, 1564, 18.63 
70, 79, 222, 2.64 
80, 89, 886, 10.55 
90, 99, 0, 0.00 
100, 109, 4232, 50.41 


 ComfortScore For City :Richmond,VA, is 40.62
Total data points 8015 
Low, High, NumHrs, Percent
0, 9, 2484, 30.99 
10, 19, 0, 0.00 
20, 29, 577, 7.20 
30, 39, 630, 7.86 
40, 49, 668, 8.33 
50, 59, 928, 11.58 
60, 69, 926, 11.55 
70, 79, 223, 2.78 
80, 89, 375, 4.68 
90, 99, 0, 0.00 
100, 109, 1204, 15.02 
