LOW,HIGH,SCHIL-DPTS,SCHIL-PERCENT,RIC-DPTS,RIC-PERCENT,SVALE,SVALE-PERCENT,MIAMI,MIAMI-PERCENT,LHR,SYD,BUF,PIT,HNL
0,10,4244,51.15718419,2484,30.99189021,1883,21.79145932,37,0.440738535,33.24,3.67,48.41,42.82,0.04
10,20,0,0,0,0,0,0,0,0,0,0,0,0,0
20,30,637,7.678399229,577,7.199001871,1380,15.9703738,111,1.322215605,20.21,9.66,7.96,7.84,0
30,40,585,7.051591128,630,7.860262009,1813,20.9813679,187,2.227516379,20.39,17.48,7.06,8.63,0
40,50,610,7.352941176,668,8.334373051,1560,18.05346603,381,4.538415724,13.99,20.94,10.61,10.73,0.54
50,60,626,7.545805207,928,11.5782907,894,10.34602477,775,9.231685527,7.92,22.48,7.04,7.22,3.05
60,70,504,6.075216972,926,11.55333749,624,7.221386414,1564,18.63013699,2.56,12.54,7.27,8.27,19.71
70,80,106,1.277724204,223,2.782283219,15,0.17359102,222,2.644431209,0,0.33,0.06,0.54,0
80,90,250,3.013500482,375,4.678727386,59,0.682791344,886,10.55390113,0.02,1.33,0.56,1.57,4.95
90,100,0,0,0,0,0,0,0,0,0,0,0,0,0
100,110,734,8.847637416,1204,15.02183406,413,4.779539405,4232,50.4109589,1.67,11.57,11.03,12.4,71.71
