

 ComfortScore For City :LosAngeles CA is 37.98
Total data points 8129 
Low, High, NumHrs, Percent
0, 9, 363, 4.47 
10, 19, 0, 0.00 
20, 29, 939, 11.55 
30, 39, 1846, 22.71 
40, 49, 3003, 36.94 
50, 59, 1162, 14.29 
60, 69, 629, 7.74 
70, 79, 0, 0.00 
80, 89, 4, 0.05 
90, 99, 0, 0.00 
100, 109, 183, 2.25 


 ComfortScore For City :SFO CA is 26.57
Total data points 8132 
Low, High, NumHrs, Percent
0, 9, 1381, 16.98 
10, 19, 0, 0.00 
20, 29, 2227, 27.39 
30, 39, 2377, 29.23 
40, 49, 1383, 17.01 
50, 59, 468, 5.76 
60, 69, 200, 2.46 
70, 79, 0, 0.00 
80, 89, 5, 0.06 
90, 99, 0, 0.00 
100, 109, 91, 1.12 


 ComfortScore For City :Tampa FL is 70.85
Total data points 8171 
Low, High, NumHrs, Percent
0, 9, 199, 2.44 
10, 19, 0, 0.00 
20, 29, 247, 3.02 
30, 39, 388, 4.75 
40, 49, 947, 11.59 
50, 59, 856, 10.48 
60, 69, 1140, 13.95 
70, 79, 355, 4.34 
80, 89, 776, 9.50 
90, 99, 0, 0.00 
100, 109, 3263, 39.93 


 ComfortScore For City :Austin TX is 54.36
Total data points 8329 
Low, High, NumHrs, Percent
0, 9, 1342, 16.11 
10, 19, 0, 0.00 
20, 29, 535, 6.42 
30, 39, 457, 5.49 
40, 49, 928, 11.14 
50, 59, 1141, 13.70 
60, 69, 883, 10.60 
70, 79, 504, 6.05 
80, 89, 516, 6.20 
90, 99, 0, 0.00 
100, 109, 2023, 24.29 


 ComfortScore For City :SanDiego CA is 41.74
Total data points 8437 
Low, High, NumHrs, Percent
0, 9, 239, 2.83 
10, 19, 0, 0.00 
20, 29, 667, 7.91 
30, 39, 1447, 17.15 
40, 49, 3226, 38.24 
50, 59, 1699, 20.14 
60, 69, 856, 10.15 
70, 79, 2, 0.02 
80, 89, 8, 0.09 
90, 99, 0, 0.00 
100, 109, 293, 3.47 
